iter	Passed	Remaining
0	2	2528
1	6	3423
2	11	3910
3	14	3662
4	17	3494
5	20	3330
6	22	3250
7	26	3319
8	30	3319
9	33	3272
10	36	3274
11	42	3465
12	44	3401
13	48	3402
14	52	3455
15	55	3437
16	59	3433
17	62	3390
18	66	3411
19	69	3401
20	73	3427
21	76	3402
22	79	3394
23	82	3369
24	85	3345
25	88	3331
26	92	3350
27	95	3320
28	99	3317
29	102	3307
30	106	3326
31	109	3325
32	113	3312
33	116	3299
34	119	3288
35	122	3269
36	124	3231
37	126	3196
38	128	3169
39	131	3148
40	133	3120
41	135	3094
42	137	3055
43	139	3030
44	141	2998
45	143	2975
46	145	2952
47	147	2932
48	149	2910
49	152	2902
50	154	2875
51	156	2851
52	158	2833
53	160	2816
54	162	2792
55	165	2782
56	166	2760
57	168	2741
58	171	2731
59	173	2711
60	175	2702
61	177	2685
62	179	2674
63	182	2675
64	185	2665
65	187	2652
66	189	2639
67	192	2635
68	196	2656
69	198	2643
70	201	2631
71	203	2620
72	205	2611
73	208	2607
74	212	2620
75	215	2621
76	217	2609
77	220	2604
78	222	2595
79	225	2590
80	227	2583
81	229	2569
82	231	2554
83	233	2544
84	236	2541
85	237	2528
86	240	2527
87	242	2517
88	245	2508
89	248	2508
90	249	2495
91	252	2489
92	254	2484
93	256	2474
94	258	2465
95	260	2456
96	263	2452
97	265	2444
98	268	2444
99	271	2440
100	273	2433
101	275	2422
102	277	2416
103	280	2414
104	283	2420
105	287	2426
106	291	2429
107	294	2436
108	297	2435
109	301	2441
110	304	2440
111	308	2447
112	312	2454
113	316	2461
114	320	2466
115	324	2474
116	328	2479
117	333	2491
118	336	2493
119	340	2495
120	342	2485
121	344	2481
122	348	2481
123	351	2481
124	356	2492
125	360	2500
126	364	2508
127	368	2510
128	372	2514
129	374	2507
130	377	2504
131	379	2495
132	381	2485
133	383	2476
134	386	2474
135	388	2467
136	393	2478
137	398	2487
138	401	2489
139	404	2484
140	407	2481
141	409	2474
142	411	2468
143	414	2462
144	416	2455
145	418	2447
146	420	2442
147	424	2442
148	426	2435
149	429	2431
150	431	2427
151	435	2426
152	438	2427
153	442	2428
154	446	2433
155	449	2432
156	453	2433
157	455	2425
158	457	2419
159	460	2415
160	461	2406
161	464	2401
162	467	2400
163	470	2396
164	472	2390
165	475	2387
166	478	2387
167	480	2380
168	482	2373
169	484	2366
170	487	2361
171	490	2362
172	495	2366
173	497	2361
174	499	2354
175	501	2346
176	503	2339
177	505	2333
178	508	2331
179	510	2327
180	512	2319
181	514	2312
182	516	2304
183	518	2300
184	522	2302
185	526	2302
186	528	2298
187	530	2291
188	532	2284
189	535	2282
190	537	2277
191	541	2277
192	543	2272
193	545	2265
194	547	2259
195	549	2254
196	553	2255
197	555	2251
198	557	2245
199	560	2241
200	562	2235
201	564	2229
202	566	2224
203	568	2219
204	571	2215
205	574	2214
206	577	2212
207	579	2207
208	582	2205
209	585	2203
210	587	2197
211	589	2191
212	591	2184
213	592	2177
214	594	2169
215	596	2165
216	598	2159
217	600	2153
218	602	2147
219	604	2144
220	606	2138
221	608	2132
222	610	2127
223	613	2126
224	617	2125
225	618	2119
226	625	2129
227	629	2130
228	631	2127
229	633	2121
230	636	2118
231	638	2114
232	640	2108
233	642	2103
234	644	2096
235	646	2091
236	649	2089
237	652	2089
238	654	2085
239	656	2079
240	659	2075
241	661	2071
242	664	2068
243	666	2064
244	669	2061
245	670	2055
246	673	2052
247	674	2046
248	676	2040
249	677	2033
250	680	2029
251	681	2023
252	683	2017
253	684	2010
254	686	2004
255	687	1998
256	689	1992
257	690	1986
258	692	1980
259	693	1974
260	696	1973
261	700	1971
262	702	1967
263	703	1962
264	705	1956
265	708	1954
266	710	1951
267	712	1945
268	713	1939
269	715	1933
270	717	1929
271	719	1925
272	720	1919
273	723	1916
274	725	1912
275	727	1907
276	728	1902
277	730	1896
278	731	1891
279	734	1888
280	735	1882
281	737	1877
282	740	1877
283	742	1872
284	744	1867
285	746	1862
286	748	1858
287	749	1853
288	751	1847
289	754	1846
290	756	1843
291	758	1838
292	759	1833
293	761	1827
294	763	1824
295	765	1819
296	766	1814
297	768	1809
298	771	1808
299	772	1803
300	774	1798
301	776	1794
302	778	1790
303	780	1785
304	781	1780
305	783	1776
306	786	1775
307	788	1771
308	789	1766
309	791	1761
310	792	1756
311	795	1753
312	796	1748
313	798	1744
314	802	1744
315	804	1740
316	805	1736
317	807	1731
318	810	1729
319	811	1724
320	813	1720
321	816	1719
322	818	1714
323	819	1710
324	821	1706
325	823	1702
326	825	1698
327	826	1693
328	828	1689
329	829	1684
330	832	1683
331	834	1678
332	835	1673
333	837	1669
334	839	1665
335	840	1661
336	842	1657
337	843	1652
338	845	1649
339	848	1646
340	849	1641
341	851	1637
342	853	1634
343	854	1630
344	856	1625
345	857	1621
346	859	1617
347	861	1613
348	862	1609
349	864	1605
350	865	1600
351	867	1596
352	868	1592
353	870	1588
354	871	1583
355	873	1580
356	875	1577
357	877	1572
358	878	1568
359	880	1564
360	882	1561
361	884	1558
362	886	1554
363	888	1551
364	889	1547
365	891	1543
366	892	1539
367	894	1536
368	895	1531
369	897	1527
370	898	1523
371	900	1519
372	901	1515
373	903	1512
374	905	1508
375	906	1504
376	908	1500
377	909	1496
378	911	1492
379	913	1490
380	914	1486
381	916	1482
382	918	1478
383	919	1475
384	921	1471
385	922	1467
386	924	1463
387	925	1459
388	927	1456
389	928	1452
390	930	1448
391	931	1445
392	933	1441
393	934	1437
394	936	1433
395	937	1430
396	939	1426
397	940	1423
398	942	1419
399	943	1415
400	945	1412
401	946	1408
402	948	1405
403	950	1401
404	951	1398
405	953	1394
406	954	1390
407	956	1387
408	957	1384
409	959	1380
410	960	1377
411	962	1373
412	963	1369
413	965	1366
414	966	1362
415	968	1359
416	970	1356
417	972	1353
418	973	1350
419	975	1346
420	976	1343
421	978	1339
422	979	1336
423	981	1332
424	983	1330
425	984	1326
426	986	1323
427	987	1319
428	989	1316
429	990	1313
430	992	1309
431	993	1306
432	995	1303
433	997	1300
434	998	1297
435	1000	1293
436	1003	1292
437	1005	1289
438	1006	1286
439	1007	1282
440	1009	1279
441	1011	1276
442	1013	1273
443	1014	1270
444	1016	1267
445	1017	1264
446	1019	1261
447	1022	1259
448	1024	1257
449	1026	1254
450	1028	1251
451	1031	1250
452	1033	1247
453	1035	1245
454	1037	1242
455	1038	1238
456	1040	1235
457	1042	1233
458	1043	1230
459	1045	1227
460	1048	1225
461	1050	1223
462	1051	1219
463	1053	1216
464	1054	1213
465	1056	1210
466	1058	1207
467	1059	1204
468	1062	1202
469	1063	1199
470	1065	1197
471	1067	1194
472	1069	1191
473	1071	1188
474	1073	1185
475	1074	1182
476	1076	1179
477	1079	1179
478	1081	1176
479	1083	1173
480	1084	1170
481	1086	1167
482	1088	1164
483	1089	1161
484	1092	1159
485	1094	1157
486	1096	1154
487	1098	1152
488	1099	1148
489	1101	1146
490	1103	1143
491	1104	1140
492	1106	1137
493	1110	1137
494	1111	1134
495	1113	1131
496	1114	1128
497	1116	1125
498	1118	1123
499	1120	1120
500	1122	1117
501	1124	1115
502	1126	1112
503	1127	1109
504	1129	1106
505	1131	1104
506	1133	1102
507	1134	1099
508	1136	1096
509	1139	1095
510	1142	1092
511	1143	1089
512	1145	1087
513	1146	1084
514	1148	1081
515	1150	1078
516	1151	1076
517	1153	1073
518	1155	1071
519	1157	1068
520	1158	1065
521	1160	1062
522	1161	1059
523	1163	1057
524	1165	1054
525	1166	1051
526	1168	1048
527	1169	1045
528	1171	1043
529	1173	1040
530	1174	1037
531	1176	1034
532	1177	1032
533	1179	1029
534	1180	1026
535	1182	1023
536	1184	1020
537	1185	1018
538	1187	1015
539	1189	1012
540	1190	1010
541	1192	1007
542	1193	1004
543	1195	1001
544	1197	999
545	1198	996
546	1200	993
547	1201	991
548	1203	988
549	1204	985
550	1206	982
551	1207	980
552	1209	977
553	1210	974
554	1212	971
555	1213	969
556	1215	966
557	1216	963
558	1218	961
559	1219	958
560	1221	955
561	1222	952
562	1224	950
563	1225	947
564	1227	945
565	1228	942
566	1230	939
567	1231	936
568	1233	934
569	1234	931
570	1236	928
571	1238	926
572	1239	923
573	1241	921
574	1242	918
575	1244	915
576	1245	913
577	1247	910
578	1248	908
579	1250	905
580	1251	902
581	1253	900
582	1254	897
583	1256	894
584	1257	892
585	1260	890
586	1261	887
587	1263	885
588	1264	882
589	1266	879
590	1267	877
591	1269	875
592	1271	872
593	1272	869
594	1274	867
595	1275	864
596	1276	861
597	1278	859
598	1280	856
599	1281	854
600	1283	851
601	1284	849
602	1285	846
603	1287	844
604	1288	841
605	1290	838
606	1291	836
607	1293	833
608	1294	831
609	1296	828
610	1298	826
611	1299	824
612	1301	821
613	1303	819
614	1304	816
615	1306	814
616	1307	811
617	1308	809
618	1310	806
619	1312	804
620	1313	801
621	1315	799
622	1316	796
623	1318	794
624	1319	791
625	1321	789
626	1322	787
627	1324	784
628	1325	782
629	1327	779
630	1328	777
631	1330	774
632	1331	772
633	1333	769
634	1334	767
635	1336	764
636	1337	762
637	1339	759
638	1340	757
639	1342	754
640	1343	752
641	1345	750
642	1347	747
643	1348	745
644	1350	743
645	1351	740
646	1353	738
647	1354	735
648	1356	733
649	1357	730
650	1359	728
651	1360	726
652	1362	723
653	1363	721
654	1365	719
655	1366	716
656	1367	714
657	1369	711
658	1370	709
659	1372	706
660	1373	704
661	1375	702
662	1377	699
663	1378	697
664	1380	695
665	1382	693
666	1383	690
667	1385	688
668	1386	686
669	1388	683
670	1389	681
671	1391	679
672	1392	676
673	1394	674
674	1395	672
675	1397	669
676	1399	667
677	1400	665
678	1401	662
679	1403	660
680	1404	658
681	1406	655
682	1407	653
683	1409	651
684	1411	648
685	1412	646
686	1414	644
687	1415	641
688	1417	639
689	1418	637
690	1420	635
691	1422	632
692	1423	630
693	1425	628
694	1426	626
695	1428	623
696	1429	621
697	1430	619
698	1432	616
699	1433	614
700	1435	612
701	1436	609
702	1438	607
703	1439	605
704	1441	603
705	1442	600
706	1444	598
707	1445	596
708	1447	593
709	1448	591
710	1450	589
711	1452	587
712	1453	585
713	1454	582
714	1456	580
715	1457	578
716	1459	575
717	1460	573
718	1462	571
719	1463	569
720	1465	567
721	1466	564
722	1468	562
723	1470	560
724	1472	558
725	1473	556
726	1475	553
727	1476	551
728	1478	549
729	1479	547
730	1481	545
731	1482	542
732	1484	540
733	1486	538
734	1487	536
735	1489	534
736	1490	531
737	1491	529
738	1493	527
739	1494	525
740	1496	523
741	1497	520
742	1499	518
743	1500	516
744	1502	514
745	1503	512
746	1505	510
747	1507	507
748	1508	505
749	1510	503
750	1511	501
751	1513	499
752	1514	496
753	1516	494
754	1517	492
755	1519	490
756	1520	488
757	1522	486
758	1523	483
759	1525	481
760	1527	479
761	1528	477
762	1530	475
763	1532	473
764	1533	471
765	1535	468
766	1536	466
767	1538	464
768	1539	462
769	1540	460
770	1542	458
771	1543	455
772	1545	453
773	1547	451
774	1548	449
775	1550	447
776	1551	445
777	1553	443
778	1554	441
779	1556	438
780	1557	436
781	1559	434
782	1560	432
783	1562	430
784	1563	428
785	1564	426
786	1566	423
787	1567	421
788	1569	419
789	1571	417
790	1572	415
791	1574	413
792	1576	411
793	1579	409
794	1581	407
795	1582	405
796	1584	403
797	1585	401
798	1587	399
799	1588	397
800	1590	395
801	1591	393
802	1593	390
803	1594	388
804	1596	386
805	1598	384
806	1599	382
807	1602	380
808	1605	378
809	1607	376
810	1609	375
811	1611	373
812	1613	371
813	1615	369
814	1618	367
815	1619	365
816	1622	363
817	1624	361
818	1625	359
819	1627	357
820	1628	355
821	1629	352
822	1631	350
823	1632	348
824	1634	346
825	1635	344
826	1637	342
827	1638	340
828	1640	338
829	1641	336
830	1643	334
831	1644	332
832	1646	330
833	1647	328
834	1649	325
835	1650	323
836	1652	321
837	1653	319
838	1655	317
839	1657	315
840	1658	313
841	1660	311
842	1661	309
843	1663	307
844	1664	305
845	1666	303
846	1668	301
847	1669	299
848	1670	297
849	1672	295
850	1673	293
851	1675	291
852	1676	288
853	1678	286
854	1679	284
855	1681	282
856	1682	280
857	1684	278
858	1685	276
859	1687	274
860	1688	272
861	1690	270
862	1691	268
863	1693	266
864	1694	264
865	1696	262
866	1697	260
867	1699	258
868	1700	256
869	1702	254
870	1704	252
871	1705	250
872	1706	248
873	1708	246
874	1710	244
875	1711	242
876	1713	240
877	1714	238
878	1716	236
879	1717	234
880	1719	232
881	1720	230
882	1722	228
883	1723	226
884	1725	224
885	1726	222
886	1728	220
887	1730	218
888	1731	216
889	1732	214
890	1734	212
891	1735	210
892	1737	208
893	1738	206
894	1740	204
895	1741	202
896	1743	200
897	1744	198
898	1746	196
899	1747	194
900	1749	192
901	1750	190
902	1752	188
903	1753	186
904	1755	184
905	1756	182
906	1758	180
907	1759	178
908	1761	176
909	1762	174
910	1764	172
911	1765	170
912	1767	168
913	1768	166
914	1770	164
915	1771	162
916	1773	160
917	1775	158
918	1776	156
919	1778	154
920	1779	152
921	1781	150
922	1782	148
923	1784	146
924	1785	144
925	1787	142
926	1788	140
927	1790	138
928	1791	136
929	1793	134
930	1795	133
931	1796	131
932	1797	129
933	1799	127
934	1800	125
935	1802	123
936	1803	121
937	1805	119
938	1807	117
939	1808	115
940	1810	113
941	1811	111
942	1813	109
943	1817	107
944	1819	105
945	1820	103
946	1822	101
947	1823	100
948	1825	98
949	1828	96
950	1830	94
951	1831	92
952	1833	90
953	1834	88
954	1836	86
955	1838	84
956	1840	82
957	1842	80
958	1843	78
959	1845	76
960	1846	74
961	1848	73
962	1850	71
963	1852	69
964	1853	67
965	1855	65
966	1857	63
967	1859	61
968	1860	59
969	1862	57
970	1863	55
971	1865	53
972	1866	51
973	1868	49
974	1870	47
975	1871	46
976	1873	44
977	1874	42
978	1876	40
979	1877	38
980	1878	36
981	1880	34
982	1882	32
983	1883	30
984	1885	28
985	1886	26
986	1888	24
987	1889	22
988	1891	21
989	1892	19
990	1894	17
991	1895	15
992	1897	13
993	1898	11
994	1899	9
995	1901	7
996	1903	5
997	1904	3
998	1906	1
999	1907	0
